[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 7300: Total Loss of tensor([[11.9513]], grad_fn=<SubBackward0>)
[2022-11-05 10:23:58.596968] Process 5. Episode 7400, average_reward -0.071892
Episode 7400: Total Loss of tensor([[11.8535]], grad_fn=<SubBackward0>)
[2022-11-05 10:24:03.504421] Process 1. Episode 7250, average_reward -0.069103
Episode 7250: Total Loss of tensor([[3.5455]], grad_fn=<SubBackward0>)
[2022-11-05 10:24:03.617290] Process 2. Episode 7450, average_reward -0.076779
Episode 7450: Total Loss of tensor([[15.0609]], grad_fn=<SubBackward0>)
[2022-11-05 10:24:12.540705] Process 0. Episode 7350, average_reward -0.072381
Episode 7350: Total Loss of tensor([[15.5124]], grad_fn=<SubBackward0>)
[2022-11-05 10:25:05.100803] Process 4. Episode 7800, average_reward -0.077308
Episode 7800: Total Loss of tensor([[12.8817]], grad_fn=<SubBackward0>)
[2022-11-05 10:25:36.822913] Process 3. Episode 7350, average_reward -0.070884
Episode 7350: Total Loss of tensor([[-11.0230]], grad_fn=<SubBackward0>)
[2022-11-05 10:26:26.436118] Process 2. Episode 7500, average_reward -0.076667
Episode 7500: Total Loss of tensor([[16.0747]], grad_fn=<SubBackward0>)
[2022-11-05 10:26:29.082084] Process 5. Episode 7450, average_reward -0.071946
Episode 7450: Total Loss of tensor([[3.8441]], grad_fn=<SubBackward0>)
[2022-11-05 10:26:39.205885] Process 1. Episode 7300, average_reward -0.069178
Episode 7300: Total Loss of tensor([[4.1878]], grad_fn=<SubBackward0>)
[2022-11-05 10:26:48.087454] Process 0. Episode 7400, average_reward -0.072297
Episode 7400: Total Loss of tensor([[-6.3423]], grad_fn=<SubBackward0>)
[2022-11-05 10:27:27.259983] Process 4. Episode 7850, average_reward -0.077325
Episode 7850: Total Loss of tensor([[21.1213]], grad_fn=<SubBackward0>)
[2022-11-05 10:28:00.211292] Process 3. Episode 7400, average_reward -0.070811
Episode 7400: Total Loss of tensor([[13.9287]], grad_fn=<SubBackward0>)
[2022-11-05 10:28:49.505872] Process 2. Episode 7550, average_reward -0.076821
Episode 7550: Total Loss of tensor([[-115.7991]], grad_fn=<SubBackward0>)
[2022-11-05 10:28:58.532229] Process 5. Episode 7500, average_reward -0.072400
Episode 7500: Total Loss of tensor([[8.0246]], grad_fn=<SubBackward0>)
[2022-11-05 10:29:19.961304] Process 0. Episode 7450, average_reward -0.072617
Episode 7450: Total Loss of tensor([[45.3910]], grad_fn=<SubBackward0>)
[2022-11-05 10:29:23.248463] Process 1. Episode 7350, average_reward -0.069388
Episode 7350: Total Loss of tensor([[-4.1652]], grad_fn=<SubBackward0>)
[2022-11-05 10:29:51.653606] Process 4. Episode 7900, average_reward -0.077215
Episode 7900: Total Loss of tensor([[11.3906]], grad_fn=<SubBackward0>)
[2022-11-05 10:30:21.770531] Process 3. Episode 7450, average_reward -0.071007
Episode 7450: Total Loss of tensor([[9.4280]], grad_fn=<SubBackward0>)
[2022-11-05 10:31:12.309472] Process 2. Episode 7600, average_reward -0.076842
Episode 7600: Total Loss of tensor([[5.4929]], grad_fn=<SubBackward0>)
[2022-11-05 10:31:31.147024] Process 5. Episode 7550, average_reward -0.072318
Episode 7550: Total Loss of tensor([[0.6113]], grad_fn=<SubBackward0>)
[2022-11-05 10:31:59.787425] Process 0. Episode 7500, average_reward -0.072533
Episode 7500: Total Loss of tensor([[-1.5050]], grad_fn=<SubBackward0>)
[2022-11-05 10:32:02.026380] Process 1. Episode 7400, average_reward -0.069459
Episode 7400: Total Loss of tensor([[2.5285]], grad_fn=<SubBackward0>)
[2022-11-05 10:32:13.890934] Process 4. Episode 7950, average_reward -0.077233
Episode 7950: Total Loss of tensor([[13.8728]], grad_fn=<SubBackward0>)
[2022-11-05 10:32:47.055701] Process 3. Episode 7500, average_reward -0.071200
Episode 7500: Total Loss of tensor([[5.5580]], grad_fn=<SubBackward0>)
[2022-11-05 10:33:38.756341] Process 2. Episode 7650, average_reward -0.076863
Episode 7650: Total Loss of tensor([[-5.7207]], grad_fn=<SubBackward0>)
[2022-11-05 10:33:59.664783] Process 5. Episode 7600, average_reward -0.072237
Episode 7600: Total Loss of tensor([[20.7542]], grad_fn=<SubBackward0>)
[2022-11-05 10:34:33.131180] Process 0. Episode 7550, average_reward -0.072450
Episode 7550: Total Loss of tensor([[5.2216]], grad_fn=<SubBackward0>)
[2022-11-05 10:34:34.485436] Process 4. Episode 8000, average_reward -0.077000
Episode 8000: Total Loss of tensor([[11.2402]], grad_fn=<SubBackward0>)
[2022-11-05 10:34:44.374046] Process 1. Episode 7450, average_reward -0.069128
Episode 7450: Total Loss of tensor([[6.7766]], grad_fn=<SubBackward0>)
[2022-11-05 10:35:22.060904] Process 3. Episode 7550, average_reward -0.071391
Episode 7550: Total Loss of tensor([[2.6010]], grad_fn=<SubBackward0>)
[2022-11-05 10:36:04.164409] Process 2. Episode 7700, average_reward -0.077403
Episode 7700: Total Loss of tensor([[-111.0440]], grad_fn=<SubBackward0>)
[2022-11-05 10:36:21.958852] Process 5. Episode 7650, average_reward -0.072288
Episode 7650: Total Loss of tensor([[2.0014]], grad_fn=<SubBackward0>)
[2022-11-05 10:36:54.034574] Process 4. Episode 8050, average_reward -0.077019
Episode 8050: Total Loss of tensor([[6.2313]], grad_fn=<SubBackward0>)
[2022-11-05 10:37:09.049637] Process 0. Episode 7600, average_reward -0.072500
Episode 7600: Total Loss of tensor([[13.0414]], grad_fn=<SubBackward0>)
[2022-11-05 10:37:31.685723] Process 1. Episode 7500, average_reward -0.069467
Episode 7500: Total Loss of tensor([[12.0567]], grad_fn=<SubBackward0>)
[2022-11-05 10:37:53.809947] Process 3. Episode 7600, average_reward -0.071053
Episode 7600: Total Loss of tensor([[7.4250]], grad_fn=<SubBackward0>)
[2022-11-05 10:38:30.935028] Process 2. Episode 7750, average_reward -0.077161
Episode 7750: Total Loss of tensor([[-111.7209]], grad_fn=<SubBackward0>)
[2022-11-05 10:38:54.771282] Process 5. Episode 7700, average_reward -0.072468
Episode 7700: Total Loss of tensor([[1.2417]], grad_fn=<SubBackward0>)
[2022-11-05 10:39:14.556345] Process 4. Episode 8100, average_reward -0.077037
Episode 8100: Total Loss of tensor([[9.9838]], grad_fn=<SubBackward0>)
[2022-11-05 10:39:39.702958] Process 0. Episode 7650, average_reward -0.072288
Episode 7650: Total Loss of tensor([[11.4990]], grad_fn=<SubBackward0>)
[2022-11-05 10:40:09.450200] Process 1. Episode 7550, average_reward -0.069536
Episode 7550: Total Loss of tensor([[-2.0529]], grad_fn=<SubBackward0>)
[2022-11-05 10:40:25.647438] Process 3. Episode 7650, average_reward -0.071503
Episode 7650: Total Loss of tensor([[10.4250]], grad_fn=<SubBackward0>)
[2022-11-05 10:41:02.096736] Process 2. Episode 7800, average_reward -0.076923
Episode 7800: Total Loss of tensor([[17.8884]], grad_fn=<SubBackward0>)
[2022-11-05 10:41:19.879322] Process 5. Episode 7750, average_reward -0.072258
Episode 7750: Total Loss of tensor([[13.3299]], grad_fn=<SubBackward0>)
[2022-11-05 10:41:38.290973] Process 4. Episode 8150, average_reward -0.076933
Episode 8150: Total Loss of tensor([[-18.6912]], grad_fn=<SubBackward0>)
[2022-11-05 10:42:05.026885] Process 0. Episode 7700, average_reward -0.072338
Episode 7700: Total Loss of tensor([[-12.3452]], grad_fn=<SubBackward0>)
[2022-11-05 10:42:48.023913] Process 1. Episode 7600, average_reward -0.069737
Episode 7600: Total Loss of tensor([[8.3431]], grad_fn=<SubBackward0>)
[2022-11-05 10:43:11.649242] Process 3. Episode 7700, average_reward -0.071429
Episode 7700: Total Loss of tensor([[7.9985]], grad_fn=<SubBackward0>)
[2022-11-05 10:43:27.867222] Process 2. Episode 7850, average_reward -0.076943
Episode 7850: Total Loss of tensor([[-4.2257]], grad_fn=<SubBackward0>)
[2022-11-05 10:43:49.117621] Process 5. Episode 7800, average_reward -0.071795
Episode 7800: Total Loss of tensor([[7.3414]], grad_fn=<SubBackward0>)
[2022-11-05 10:44:00.537657] Process 4. Episode 8200, average_reward -0.076707
Episode 8200: Total Loss of tensor([[-4.3186]], grad_fn=<SubBackward0>)
[2022-11-05 10:44:28.858126] Process 0. Episode 7750, average_reward -0.072129
Episode 7750: Total Loss of tensor([[0.6088]], grad_fn=<SubBackward0>)
[2022-11-05 10:45:25.867018] Process 1. Episode 7650, average_reward -0.069673
Episode 7650: Total Loss of tensor([[13.1151]], grad_fn=<SubBackward0>)
[2022-11-05 10:45:47.091619] Process 3. Episode 7750, average_reward -0.072000
Episode 7750: Total Loss of tensor([[-65.1351]], grad_fn=<SubBackward0>)
[2022-11-05 10:45:56.629456] Process 2. Episode 7900, average_reward -0.076835
Episode 7900: Total Loss of tensor([[17.6894]], grad_fn=<SubBackward0>)
[2022-11-05 10:46:19.900652] Process 5. Episode 7850, average_reward -0.071592
Episode 7850: Total Loss of tensor([[12.6071]], grad_fn=<SubBackward0>)
[2022-11-05 10:46:24.930246] Process 4. Episode 8250, average_reward -0.077212
Episode 8250: Total Loss of tensor([[-120.7065]], grad_fn=<SubBackward0>)
[2022-11-05 10:46:52.558717] Process 0. Episode 7800, average_reward -0.071923
Episode 7800: Total Loss of tensor([[5.0476]], grad_fn=<SubBackward0>)
[2022-11-05 10:48:01.534181] Process 1. Episode 7700, average_reward -0.070000
Episode 7700: Total Loss of tensor([[4.4334]], grad_fn=<SubBackward0>)
[2022-11-05 10:48:34.947068] Process 3. Episode 7800, average_reward -0.072179
Episode 7800: Total Loss of tensor([[3.9556]], grad_fn=<SubBackward0>)
[2022-11-05 10:48:37.009224] Process 2. Episode 7950, average_reward -0.077107
Episode 7950: Total Loss of tensor([[1.0986]], grad_fn=<SubBackward0>)
[2022-11-05 10:48:50.662476] Process 5. Episode 7900, average_reward -0.071392
Episode 7900: Total Loss of tensor([[18.9158]], grad_fn=<SubBackward0>)
[2022-11-05 10:48:53.301007] Process 4. Episode 8300, average_reward -0.076988
Episode 8300: Total Loss of tensor([[18.3335]], grad_fn=<SubBackward0>)
[2022-11-05 10:49:19.662910] Process 0. Episode 7850, average_reward -0.072229
Episode 7850: Total Loss of tensor([[-3.3652]], grad_fn=<SubBackward0>)
[2022-11-05 10:50:35.682181] Process 1. Episode 7750, average_reward -0.069935
Episode 7750: Total Loss of tensor([[25.2668]], grad_fn=<SubBackward0>)
[2022-11-05 10:51:10.022272] Process 2. Episode 8000, average_reward -0.077250
Episode 8000: Total Loss of tensor([[-3.4263]], grad_fn=<SubBackward0>)
[2022-11-05 10:51:18.047127] Process 4. Episode 8350, average_reward -0.077246
Episode 8350: Total Loss of tensor([[2.4260]], grad_fn=<SubBackward0>)
[2022-11-05 10:51:23.326074] Process 3. Episode 7850, average_reward -0.071847
Episode 7850: Total Loss of tensor([[13.4970]], grad_fn=<SubBackward0>)
[2022-11-05 10:51:25.296431] Process 5. Episode 7950, average_reward -0.071447
Episode 7950: Total Loss of tensor([[-1.9848]], grad_fn=<SubBackward0>)
[2022-11-05 10:51:52.488056] Process 0. Episode 7900, average_reward -0.072278
Episode 7900: Total Loss of tensor([[10.6803]], grad_fn=<SubBackward0>)
[2022-11-05 10:53:03.756552] Process 1. Episode 7800, average_reward -0.069744
Episode 7800: Total Loss of tensor([[12.2971]], grad_fn=<SubBackward0>)
[2022-11-05 10:53:39.395053] Process 2. Episode 8050, average_reward -0.077764
Episode 8050: Total Loss of tensor([[8.1932]], grad_fn=<SubBackward0>)
[2022-11-05 10:53:44.793894] Process 4. Episode 8400, average_reward -0.077143
Episode 8400: Total Loss of tensor([[1.0945]], grad_fn=<SubBackward0>)
[2022-11-05 10:53:58.220423] Process 5. Episode 8000, average_reward -0.071375
Episode 8000: Total Loss of tensor([[3.8212]], grad_fn=<SubBackward0>)
[2022-11-05 10:53:58.963791] Process 3. Episode 7900, average_reward -0.071899
Episode 7900: Total Loss of tensor([[9.3002]], grad_fn=<SubBackward0>)
[2022-11-05 10:54:20.599909] Process 0. Episode 7950, average_reward -0.072075
Episode 7950: Total Loss of tensor([[14.6126]], grad_fn=<SubBackward0>)
[2022-11-05 10:55:42.902697] Process 1. Episode 7850, average_reward -0.069936
Episode 7850: Total Loss of tensor([[-4.2585]], grad_fn=<SubBackward0>)
[2022-11-05 10:56:09.613000] Process 2. Episode 8100, average_reward -0.077654
Episode 8100: Total Loss of tensor([[19.1937]], grad_fn=<SubBackward0>)
[2022-11-05 10:56:12.072993] Process 4. Episode 8450, average_reward -0.076923
Episode 8450: Total Loss of tensor([[12.3272]], grad_fn=<SubBackward0>)
[2022-11-05 10:56:27.778888] Process 5. Episode 8050, average_reward -0.071429
Episode 8050: Total Loss of tensor([[-108.9997]], grad_fn=<SubBackward0>)
[2022-11-05 10:56:38.039522] Process 3. Episode 7950, average_reward -0.072075
Episode 7950: Total Loss of tensor([[8.6839]], grad_fn=<SubBackward0>)
[2022-11-05 10:56:47.768584] Process 0. Episode 8000, average_reward -0.072375
Episode 8000: Total Loss of tensor([[2.9066]], grad_fn=<SubBackward0>)
[2022-11-05 10:58:27.645132] Process 1. Episode 7900, average_reward -0.069873
Episode 7900: Total Loss of tensor([[-0.7291]], grad_fn=<SubBackward0>)
[2022-11-05 10:58:38.457140] Process 4. Episode 8500, average_reward -0.076706
Episode 8500: Total Loss of tensor([[1.2865]], grad_fn=<SubBackward0>)
[2022-11-05 10:58:43.236474] Process 2. Episode 8150, average_reward -0.077301
Episode 8150: Total Loss of tensor([[0.7852]], grad_fn=<SubBackward0>)
[2022-11-05 10:58:53.966785] Process 5. Episode 8100, average_reward -0.071111
Episode 8100: Total Loss of tensor([[-4.1563]], grad_fn=<SubBackward0>)
[2022-11-05 10:59:17.809086] Process 3. Episode 8000, average_reward -0.072000
Episode 8000: Total Loss of tensor([[4.4943]], grad_fn=<SubBackward0>)
[2022-11-05 10:59:24.750786] Process 0. Episode 8050, average_reward -0.072422
Episode 8050: Total Loss of tensor([[-4.3349]], grad_fn=<SubBackward0>)
[2022-11-05 11:00:58.135282] Process 1. Episode 7950, average_reward -0.069560
Episode 7950: Total Loss of tensor([[2.3931]], grad_fn=<SubBackward0>)
[2022-11-05 11:01:04.690862] Process 4. Episode 8550, average_reward -0.076257
Episode 8550: Total Loss of tensor([[-0.3137]], grad_fn=<SubBackward0>)
[2022-11-05 11:01:18.288256] Process 5. Episode 8150, average_reward -0.071166
Episode 8150: Total Loss of tensor([[1.1323]], grad_fn=<SubBackward0>)
[2022-11-05 11:01:22.437072] Process 2. Episode 8200, average_reward -0.077439
Episode 8200: Total Loss of tensor([[4.7965]], grad_fn=<SubBackward0>)
[2022-11-05 11:01:59.377180] Process 3. Episode 8050, average_reward -0.071801
Episode 8050: Total Loss of tensor([[-125.5238]], grad_fn=<SubBackward0>)
[2022-11-05 11:01:59.762754] Process 0. Episode 8100, average_reward -0.072469
Episode 8100: Total Loss of tensor([[10.2013]], grad_fn=<SubBackward0>)
[2022-11-05 11:03:26.788990] Process 4. Episode 8600, average_reward -0.076163
Episode 8600: Total Loss of tensor([[20.4296]], grad_fn=<SubBackward0>)
[2022-11-05 11:03:32.661668] Process 1. Episode 8000, average_reward -0.069750
Episode 8000: Total Loss of tensor([[0.6703]], grad_fn=<SubBackward0>)
[2022-11-05 11:03:42.824392] Process 5. Episode 8200, average_reward -0.071341
Episode 8200: Total Loss of tensor([[-95.4607]], grad_fn=<SubBackward0>)
[2022-11-05 11:03:52.185994] Process 2. Episode 8250, average_reward -0.077939
Episode 8250: Total Loss of tensor([[9.0593]], grad_fn=<SubBackward0>)
[2022-11-05 11:04:30.614459] Process 0. Episode 8150, average_reward -0.072638
Episode 8150: Total Loss of tensor([[14.4626]], grad_fn=<SubBackward0>)
[2022-11-05 11:04:30.737822] Process 3. Episode 8100, average_reward -0.071605
Episode 8100: Total Loss of tensor([[12.1576]], grad_fn=<SubBackward0>)
[2022-11-05 11:05:54.510537] Process 4. Episode 8650, average_reward -0.076069
Episode 8650: Total Loss of tensor([[10.2386]], grad_fn=<SubBackward0>)
[2022-11-05 11:06:04.538418] Process 1. Episode 8050, average_reward -0.069814
Episode 8050: Total Loss of tensor([[18.4465]], grad_fn=<SubBackward0>)
[2022-11-05 11:06:14.482397] Process 5. Episode 8250, average_reward -0.071515
Episode 8250: Total Loss of tensor([[10.0339]], grad_fn=<SubBackward0>)
[2022-11-05 11:06:21.226020] Process 2. Episode 8300, average_reward -0.077831
Episode 8300: Total Loss of tensor([[-8.7150]], grad_fn=<SubBackward0>)
[2022-11-05 11:07:06.928461] Process 3. Episode 8150, average_reward -0.071779
Episode 8150: Total Loss of tensor([[8.4604]], grad_fn=<SubBackward0>)
[2022-11-05 11:07:07.131897] Process 0. Episode 8200, average_reward -0.072439
Episode 8200: Total Loss of tensor([[11.2045]], grad_fn=<SubBackward0>)
[2022-11-05 11:08:22.229050] Process 4. Episode 8700, average_reward -0.075977
Episode 8700: Total Loss of tensor([[12.0410]], grad_fn=<SubBackward0>)
[2022-11-05 11:08:28.136341] Process 1. Episode 8100, average_reward -0.069753
Episode 8100: Total Loss of tensor([[21.1622]], grad_fn=<SubBackward0>)
[2022-11-05 11:08:41.327374] Process 5. Episode 8300, average_reward -0.071446
Episode 8300: Total Loss of tensor([[-1.0755]], grad_fn=<SubBackward0>)
[2022-11-05 11:08:50.681636] Process 2. Episode 8350, average_reward -0.077844
Episode 8350: Total Loss of tensor([[-25.1287]], grad_fn=<SubBackward0>)
[2022-11-05 11:09:41.899257] Process 3. Episode 8200, average_reward -0.072073
Episode 8200: Total Loss of tensor([[4.2418]], grad_fn=<SubBackward0>)
[2022-11-05 11:09:47.173840] Process 0. Episode 8250, average_reward -0.072364
Episode 8250: Total Loss of tensor([[2.9860]], grad_fn=<SubBackward0>)
[2022-11-05 11:10:46.133249] Process 4. Episode 8750, average_reward -0.076343
Episode 8750: Total Loss of tensor([[10.2024]], grad_fn=<SubBackward0>)
[2022-11-05 11:11:03.700493] Process 1. Episode 8150, average_reward -0.069571
Episode 8150: Total Loss of tensor([[15.4272]], grad_fn=<SubBackward0>)
[2022-11-05 11:11:11.154492] Process 5. Episode 8350, average_reward -0.071617
Episode 8350: Total Loss of tensor([[3.7301]], grad_fn=<SubBackward0>)
[2022-11-05 11:11:13.429186] Process 2. Episode 8400, average_reward -0.077976
Episode 8400: Total Loss of tensor([[14.6753]], grad_fn=<SubBackward0>)
[2022-11-05 11:12:17.721731] Process 0. Episode 8300, average_reward -0.072651
Episode 8300: Total Loss of tensor([[17.2485]], grad_fn=<SubBackward0>)
[2022-11-05 11:12:22.489027] Process 3. Episode 8250, average_reward -0.072000
Episode 8250: Total Loss of tensor([[16.5929]], grad_fn=<SubBackward0>)
[2022-11-05 11:13:11.567855] Process 4. Episode 8800, average_reward -0.076705
Episode 8800: Total Loss of tensor([[9.0340]], grad_fn=<SubBackward0>)
[2022-11-05 11:13:42.064663] Process 2. Episode 8450, average_reward -0.077988
Episode 8450: Total Loss of tensor([[10.0400]], grad_fn=<SubBackward0>)
[2022-11-05 11:13:42.747378] Process 5. Episode 8400, average_reward -0.071548
Episode 8400: Total Loss of tensor([[11.6865]], grad_fn=<SubBackward0>)
[2022-11-05 11:13:45.515196] Process 1. Episode 8200, average_reward -0.069634
Episode 8200: Total Loss of tensor([[-2.6626]], grad_fn=<SubBackward0>)
[2022-11-05 11:14:50.637839] Process 0. Episode 8350, average_reward -0.072695
Episode 8350: Total Loss of tensor([[-1.3810]], grad_fn=<SubBackward0>)
[2022-11-05 11:15:00.268625] Process 3. Episode 8300, average_reward -0.072289
Episode 8300: Total Loss of tensor([[14.0970]], grad_fn=<SubBackward0>)
[2022-11-05 11:15:38.901459] Process 4. Episode 8850, average_reward -0.076836
Episode 8850: Total Loss of tensor([[-3.4660]], grad_fn=<SubBackward0>)
[2022-11-05 11:16:05.996059] Process 2. Episode 8500, average_reward -0.078000
Episode 8500: Total Loss of tensor([[-6.4648]], grad_fn=<SubBackward0>)
[2022-11-05 11:16:07.574618] Process 5. Episode 8450, average_reward -0.071598
Episode 8450: Total Loss of tensor([[1.6487]], grad_fn=<SubBackward0>)
[2022-11-05 11:16:19.359781] Process 1. Episode 8250, average_reward -0.069576
Episode 8250: Total Loss of tensor([[11.3438]], grad_fn=<SubBackward0>)
[2022-11-05 11:17:17.067954] Process 0. Episode 8400, average_reward -0.072619
Episode 8400: Total Loss of tensor([[14.8314]], grad_fn=<SubBackward0>)
[2022-11-05 11:17:28.569730] Process 3. Episode 8350, average_reward -0.072575
Episode 8350: Total Loss of tensor([[0.4647]], grad_fn=<SubBackward0>)
[2022-11-05 11:18:03.065044] Process 4. Episode 8900, average_reward -0.076854
Episode 8900: Total Loss of tensor([[32.8690]], grad_fn=<SubBackward0>)
[2022-11-05 11:18:33.708217] Process 5. Episode 8500, average_reward -0.071647
Episode 8500: Total Loss of tensor([[9.7576]], grad_fn=<SubBackward0>)
[2022-11-05 11:18:36.622189] Process 2. Episode 8550, average_reward -0.078480
Episode 8550: Total Loss of tensor([[7.3009]], grad_fn=<SubBackward0>)
[2022-11-05 11:19:07.391223] Process 1. Episode 8300, average_reward -0.069277
Episode 8300: Total Loss of tensor([[-118.5286]], grad_fn=<SubBackward0>)
[2022-11-05 11:19:49.415820] Process 0. Episode 8450, average_reward -0.072781
Episode 8450: Total Loss of tensor([[8.8602]], grad_fn=<SubBackward0>)
[2022-11-05 11:20:04.401770] Process 3. Episode 8400, average_reward -0.072500
Episode 8400: Total Loss of tensor([[6.0851]], grad_fn=<SubBackward0>)
[2022-11-05 11:20:27.756973] Process 4. Episode 8950, average_reward -0.076983
Episode 8950: Total Loss of tensor([[-1.2916]], grad_fn=<SubBackward0>)
[2022-11-05 11:21:06.404286] Process 5. Episode 8550, average_reward -0.071579
Episode 8550: Total Loss of tensor([[12.3975]], grad_fn=<SubBackward0>)
[2022-11-05 11:21:08.062735] Process 2. Episode 8600, average_reward -0.078488
Episode 8600: Total Loss of tensor([[17.4513]], grad_fn=<SubBackward0>)
[2022-11-05 11:21:40.490714] Process 1. Episode 8350, average_reward -0.069102
Episode 8350: Total Loss of tensor([[-123.1772]], grad_fn=<SubBackward0>)
[2022-11-05 11:22:28.074937] Process 0. Episode 8500, average_reward -0.072941
Episode 8500: Total Loss of tensor([[16.0023]], grad_fn=<SubBackward0>)
[2022-11-05 11:22:43.579939] Process 3. Episode 8450, average_reward -0.072426
Episode 8450: Total Loss of tensor([[6.9907]], grad_fn=<SubBackward0>)
[2022-11-05 11:22:52.750751] Process 4. Episode 9000, average_reward -0.076889
Episode 9000: Total Loss of tensor([[1.9346]], grad_fn=<SubBackward0>)
[2022-11-05 11:23:30.639133] Process 5. Episode 8600, average_reward -0.071395
Episode 8600: Total Loss of tensor([[3.8480]], grad_fn=<SubBackward0>)
[2022-11-05 11:23:38.712619] Process 2. Episode 8650, average_reward -0.078266
Episode 8650: Total Loss of tensor([[-1.5554]], grad_fn=<SubBackward0>)
[2022-11-05 11:24:22.497954] Process 1. Episode 8400, average_reward -0.068690
Episode 8400: Total Loss of tensor([[1.1725]], grad_fn=<SubBackward0>)
[2022-11-05 11:24:53.369510] Process 0. Episode 8550, average_reward -0.072982
Episode 8550: Total Loss of tensor([[-115.5202]], grad_fn=<SubBackward0>)
[2022-11-05 11:25:18.026642] Process 4. Episode 9050, average_reward -0.077017
Episode 9050: Total Loss of tensor([[21.5033]], grad_fn=<SubBackward0>)
[2022-11-05 11:25:20.157005] Process 3. Episode 8500, average_reward -0.072824
Episode 8500: Total Loss of tensor([[10.6319]], grad_fn=<SubBackward0>)
[2022-11-05 11:25:58.488155] Process 5. Episode 8650, average_reward -0.071098
Episode 8650: Total Loss of tensor([[10.0253]], grad_fn=<SubBackward0>)
[2022-11-05 11:26:09.596457] Process 2. Episode 8700, average_reward -0.078736
Episode 8700: Total Loss of tensor([[21.4519]], grad_fn=<SubBackward0>)
[2022-11-05 11:27:11.815591] Process 1. Episode 8450, average_reward -0.068402
Episode 8450: Total Loss of tensor([[31.0006]], grad_fn=<SubBackward0>)
[2022-11-05 11:27:28.044150] Process 0. Episode 8600, average_reward -0.073140
Episode 8600: Total Loss of tensor([[17.7022]], grad_fn=<SubBackward0>)
[2022-11-05 11:27:41.567812] Process 4. Episode 9100, average_reward -0.077033
Episode 9100: Total Loss of tensor([[18.9291]], grad_fn=<SubBackward0>)
[2022-11-05 11:27:52.880342] Process 3. Episode 8550, average_reward -0.072982
Episode 8550: Total Loss of tensor([[21.5218]], grad_fn=<SubBackward0>)
[2022-11-05 11:28:26.788146] Process 5. Episode 8700, average_reward -0.071494
Episode 8700: Total Loss of tensor([[9.4756]], grad_fn=<SubBackward0>)
[2022-11-05 11:28:41.603794] Process 2. Episode 8750, average_reward -0.078743
Episode 8750: Total Loss of tensor([[19.1569]], grad_fn=<SubBackward0>)
[2022-11-05 11:29:50.103196] Process 1. Episode 8500, average_reward -0.068353
Episode 8500: Total Loss of tensor([[3.9644]], grad_fn=<SubBackward0>)
[2022-11-05 11:29:56.169444] Process 0. Episode 8650, average_reward -0.073064
Episode 8650: Total Loss of tensor([[-9.1390]], grad_fn=<SubBackward0>)
[2022-11-05 11:30:06.549511] Process 4. Episode 9150, average_reward -0.076831
Episode 9150: Total Loss of tensor([[7.3250]], grad_fn=<SubBackward0>)
[2022-11-05 11:30:35.607522] Process 3. Episode 8600, average_reward -0.072907
Episode 8600: Total Loss of tensor([[-114.1073]], grad_fn=<SubBackward0>)
[2022-11-05 11:30:54.758326] Process 5. Episode 8750, average_reward -0.071314
Episode 8750: Total Loss of tensor([[2.9168]], grad_fn=<SubBackward0>)
[2022-11-05 11:31:10.748522] Process 2. Episode 8800, average_reward -0.078523
Episode 8800: Total Loss of tensor([[-39.7856]], grad_fn=<SubBackward0>)
[2022-11-05 11:32:22.177888] Process 0. Episode 8700, average_reward -0.073103
Episode 8700: Total Loss of tensor([[-1.3216]], grad_fn=<SubBackward0>)
[2022-11-05 11:32:28.479081] Process 1. Episode 8550, average_reward -0.068421
Episode 8550: Total Loss of tensor([[5.8295]], grad_fn=<SubBackward0>)
[2022-11-05 11:32:30.594539] Process 4. Episode 9200, average_reward -0.076630
Episode 9200: Total Loss of tensor([[8.1940]], grad_fn=<SubBackward0>)
[2022-11-05 11:33:20.948200] Process 3. Episode 8650, average_reward -0.072948
Episode 8650: Total Loss of tensor([[8.1821]], grad_fn=<SubBackward0>)
[2022-11-05 11:33:22.030805] Process 5. Episode 8800, average_reward -0.071250
Episode 8800: Total Loss of tensor([[-176.4928]], grad_fn=<SubBackward0>)
[2022-11-05 11:33:35.125989] Process 2. Episode 8850, average_reward -0.078418
Episode 8850: Total Loss of tensor([[0.3204]], grad_fn=<SubBackward0>)
[2022-11-05 11:34:54.274779] Process 4. Episode 9250, average_reward -0.076649
Episode 9250: Total Loss of tensor([[10.3855]], grad_fn=<SubBackward0>)
[2022-11-05 11:34:54.303120] Process 0. Episode 8750, average_reward -0.073143
Episode 8750: Total Loss of tensor([[1.6332]], grad_fn=<SubBackward0>)
[2022-11-05 11:35:05.090355] Process 1. Episode 8600, average_reward -0.068372
Episode 8600: Total Loss of tensor([[-0.7113]], grad_fn=<SubBackward0>)
[2022-11-05 11:35:52.404470] Process 5. Episode 8850, average_reward -0.071186
Episode 8850: Total Loss of tensor([[2.2846]], grad_fn=<SubBackward0>)
[2022-11-05 11:36:02.212001] Process 3. Episode 8700, average_reward -0.072759
Episode 8700: Total Loss of tensor([[9.9949]], grad_fn=<SubBackward0>)
[2022-11-05 11:36:12.997030] Process 2. Episode 8900, average_reward -0.078427
Episode 8900: Total Loss of tensor([[9.7029]], grad_fn=<SubBackward0>)
[2022-11-05 11:37:19.822709] Process 4. Episode 9300, average_reward -0.076559
